Profession,Condition,Category,Observed,Expected,Standardized residual,Abs standardized residual
Metal worker,French_standard,M,190.0,194.35294117647058,-0.3122390663929932,0.3122390663929932
Metal worker,French_standard,F,0.0,1.1764705882352942,-1.084652289093281,1.084652289093281
Metal worker,French_standard,N,10.0,4.470588235294118,2.6151499551508888,2.6151499551508888
Metal worker,French_limited,M,151.0,155.48235294117646,-0.3594723558085009,0.3594723558085009
Metal worker,French_limited,F,0.0,0.9411764705882353,-0.9701425001453319,0.9701425001453319
Metal worker,French_limited,N,9.0,3.5764705882352943,2.867838367834695,2.867838367834695
Nurse,Spanish_standard,M,14.0,3.5107471852610033,5.598153143120723,5.598153143120723
Nurse,Spanish_standard,F,216.0,233.71545547594678,-1.1588003195914836,1.1588003195914836
Nurse,Spanish_standard,N,15.0,7.773797338792221,2.591752523665633,2.591752523665633
Nurse,Spanish_limited,M,0.0,3.5107471852610033,-1.873698797902428,1.873698797902428
Nurse,Spanish_limited,F,245.0,233.71545547594678,0.7381426810432224,0.7381426810432224
Nurse,Spanish_limited,N,0.0,7.773797338792221,-2.788153033603468,2.788153033603468
Nurse,French_standard,M,0.0,3.4677584442169906,-1.862191838725804,1.862191838725804
Nurse,French_standard,F,226.0,230.85363357215968,-0.31944686369254605,0.31944686369254605
Nurse,French_standard,N,16.0,7.678607983623337,3.0029958624645112,3.0029958624645112
Nurse,French_limited,M,0.0,3.5107471852610033,-1.873698797902428,1.873698797902428
Nurse,French_limited,F,245.0,233.71545547594678,0.7381426810432224,0.7381426810432224
Nurse,French_limited,N,0.0,7.773797338792221,-2.788153033603468,2.788153033603468
Personal care worker,Spanish_standard,M,223.0,165.30094043887146,4.487774974384031,4.487774974384031
Personal care worker,Spanish_standard,N,20.0,77.69905956112852,-6.545771690073232,6.545771690073232
Personal care worker,Spanish_limited,M,223.0,166.6614420062696,4.3640343395093995,4.3640343395093995
Personal care worker,Spanish_limited,N,22.0,78.3385579937304,-6.365286271508943,6.365286271508943
Personal care worker,French_standard,M,108.0,161.89968652037618,-4.236071046774411,4.236071046774411
Personal care worker,French_standard,N,130.0,76.10031347962382,6.178641775353426,6.178641775353426
Personal care worker,French_limited,M,97.0,157.13793103448276,-4.797422496745014,4.797422496745014
Personal care worker,French_limited,N,134.0,73.86206896551724,6.997416881140336,6.997416881140336
Pilot,Spanish_standard,M,244.0,244.75,-0.04794020790754448,0.04794020790754448
Pilot,Spanish_standard,N,1.0,0.25,1.5,1.5
Pilot,Spanish_limited,M,245.0,244.75,0.01598006930251483,0.01598006930251483
Pilot,Spanish_limited,N,0.0,0.25,-0.5,0.5
Pilot,French_standard,M,245.0,244.75,0.01598006930251483,0.01598006930251483
Pilot,French_standard,N,0.0,0.25,-0.5,0.5
Pilot,French_limited,M,245.0,244.75,0.01598006930251483,0.01598006930251483
Pilot,French_limited,N,0.0,0.25,-0.5,0.5
Police Officer,Spanish_standard,M,210.0,234.25,-1.5844259369331428,1.5844259369331428
Police Officer,Spanish_standard,F,9.0,4.25,2.3040884378451634,2.3040884378451634
Police Officer,Spanish_standard,N,26.0,6.5,7.648529270389178,7.648529270389178
Police Officer,Spanish_limited,M,237.0,234.25,0.17967716810582032,0.17967716810582032
Police Officer,Spanish_limited,F,8.0,4.25,1.8190171877724972,1.8190171877724972
Police Officer,Spanish_limited,N,0.0,6.5,-2.5495097567963927,2.5495097567963927
Police Officer,French_standard,M,245.0,234.25,0.7023743844136613,0.7023743844136613
Police Officer,French_standard,F,0.0,4.25,-2.0615528128088303,2.0615528128088303
Police Officer,French_standard,N,0.0,6.5,-2.5495097567963927,2.5495097567963927
Police Officer,French_limited,M,245.0,234.25,0.7023743844136613,0.7023743844136613
Police Officer,French_limited,F,0.0,4.25,-2.0615528128088303,2.0615528128088303
Police Officer,French_limited,N,0.0,6.5,-2.5495097567963927,2.5495097567963927
Politician,Spanish_standard,M,243.0,244.49432404540764,-0.09556753716467128,0.09556753716467128
Politician,Spanish_standard,N,2.0,0.5056759545923633,2.101399542263445,2.101399542263445
Politician,Spanish_limited,M,245.0,244.49432404540764,0.03233984337754755,0.03233984337754755
Politician,Spanish_limited,N,0.0,0.5056759545923633,-0.7111089611250608,0.7111089611250608
Politician,French_standard,M,239.0,238.50670794633643,0.03194139066749684,0.03194139066749684
Politician,French_standard,N,0.0,0.4932920536635707,-0.7023475305456485,0.7023475305456485
Politician,French_limited,M,240.0,239.5046439628483,0.032008143907847404,0.032008143907847404
Politician,French_limited,N,0.0,0.4953560371517028,-0.7038153430777868,0.7038153430777868
Programmer,Spanish_standard,M,245.0,244.5,0.03197647396955397,0.03197647396955397
Programmer,Spanish_standard,N,0.0,0.5,-0.7071067811865475,0.7071067811865475
Programmer,Spanish_limited,M,245.0,244.5,0.03197647396955397,0.03197647396955397
Programmer,Spanish_limited,N,0.0,0.5,-0.7071067811865475,0.7071067811865475
Programmer,French_standard,M,243.0,244.5,-0.0959294219086619,0.0959294219086619
Programmer,French_standard,N,2.0,0.5,2.1213203435596424,2.1213203435596424
