STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,isco08,International Standard Classification of Occupations 2008 (ISCO-08),age,Age class,sex,Sex,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC34,"Legal, social, cultural and related associate professionals",Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,ES,Spain,2023,,160.7,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC34,"Legal, social, cultural and related associate professionals",Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,ES,Spain,2023,,314.5,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC35,Information and communications technicians,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,ES,Spain,2023,,63.9,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC35,Information and communications technicians,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,ES,Spain,2023,,330.0,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC35,Information and communications technicians,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,ES,Spain,2023,,393.9,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC4,Clerical support workers,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,ES,Spain,2023,,1395.7,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC4,Clerical support workers,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,ES,Spain,2023,,685.6,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC4,Clerical support workers,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,ES,Spain,2023,,2081.3,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC41,General and keyboard clerks,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,ES,Spain,2023,,371.3,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC41,General and keyboard clerks,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,ES,Spain,2023,,139.1,,d,definition differs (see metadata),,
