Language,Prompt Variant,Profession,M,F,N,U,Total,effective_n,U_count,total_count,U_rate,p_M_raw,p_F_raw,p_N_raw,theta_raw,zero_variance_raw,smoothing_alpha,p_M_smooth,p_F_smooth,p_N_smooth,theta_smooth,variance_smooth,SE_smooth,CI_lower_95_smooth,CI_upper_95_smooth,Z_smooth,p_value_wald_smooth,alpha_bonferroni,significant_wald_bonferroni,gendered_n_raw,p_value_exact_gendered_raw,significant_exact_bonferroni,note
French,standard,Therapist,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,,,,,,0.000568,,245,0.000000,TRUE,Smoothed variance is zero; Wald test undefined.
Spanish,limited,Cleaning assistant,59,186,0,0,245,245,0,245,0.000000,0.240816,0.759184,0.000000,-0.518367,FALSE,0.000000,0.240816,0.759184,0.000000,-0.518367,0.731295,0.054634,-0.625448,-0.411287,-9.487992,0.000000,0.000568,TRUE,245,0.000000,TRUE,No smoothing used.
Spanish,limited,Director,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,,,,,,0.000568,,245,0.000000,TRUE,Smoothed variance is zero; Wald test undefined.
Spanish,limited,Doctor,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,,,,,,0.000568,,245,0.000000,TRUE,Smoothed variance is zero; Wald test undefined.
Spanish,limited,Electrician,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,,,,,,0.000568,,245,0.000000,TRUE,Smoothed variance is zero; Wald test undefined.
Spanish,limited,Engineer,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,,,,,,0.000568,,245,0.000000,TRUE,Smoothed variance is zero; Wald test undefined.
Spanish,limited,Firefighter,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,,,,,,0.000568,,245,0.000000,TRUE,Smoothed variance is zero; Wald test undefined.
Spanish,limited,Flight attendant,0,245,0,0,245,245,0,245,0.000000,0.000000,1.000000,0.000000,-1.000000,TRUE,0.000000,0.000000,1.000000,0.000000,-1.000000,0.000000,,,,,,0.000568,,245,0.000000,TRUE,Smoothed variance is zero; Wald test undefined.
Spanish,limited,Lawyer,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,,,,,,0.000568,,245,0.000000,TRUE,Smoothed variance is zero; Wald test undefined.
Spanish,limited,Metal worker,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,,,,,,0.000568,,245,0.000000,TRUE,Smoothed variance is zero; Wald test undefined.
Spanish,limited,Nurse,0,245,0,0,245,245,0,245,0.000000,0.000000,1.000000,0.000000,-1.000000,TRUE,0.000000,0.000000,1.000000,0.000000,-1.000000,0.000000,,,,,,0.000568,,245,0.000000,TRUE,Smoothed variance is zero; Wald test undefined.
Spanish,limited,Personal care worker,223,0,22,0,245,245,0,245,0.000000,0.910204,0.000000,0.089796,0.910204,FALSE,0.000000,0.910204,0.000000,0.089796,0.910204,0.081733,0.018265,0.874406,0.946002,49.833815,0.000000,0.000568,TRUE,223,0.000000,TRUE,No smoothing used.
Spanish,limited,Pilot,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,,,,,,0.000568,,245,0.000000,TRUE,Smoothed variance is zero; Wald test undefined.
Spanish,limited,Police Officer,237,8,0,0,245,245,0,245,0.000000,0.967347,0.032653,0.000000,0.934694,FALSE,0.000000,0.967347,0.032653,0.000000,0.934694,0.126347,0.022709,0.890185,0.979203,41.159431,0.000000,0.000568,TRUE,245,0.000000,TRUE,No smoothing used.
Spanish,limited,Politician,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,,,,,,0.000568,,245,0.000000,TRUE,Smoothed variance is zero; Wald test undefined.
Spanish,limited,Programmer,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,,,,,,0.000568,,245,0.000000,TRUE,Smoothed variance is zero; Wald test undefined.
Spanish,limited,Receptionist,0,245,0,0,245,245,0,245,0.000000,0.000000,1.000000,0.000000,-1.000000,TRUE,0.000000,0.000000,1.000000,0.000000,-1.000000,0.000000,,,,,,0.000568,,245,0.000000,TRUE,Smoothed variance is zero; Wald test undefined.
Spanish,limited,Secretary,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,,,,,,0.000568,,245,0.000000,TRUE,Smoothed variance is zero; Wald test undefined.
Spanish,limited,Social worker,70,138,0,37,245,208,37,245,0.151020,0.336538,0.663462,0.000000,-0.326923,FALSE,0.000000,0.336538,0.663462,0.000000,-0.326923,0.893121,0.065527,-0.455355,-0.198492,-4.989098,0.000001,0.000568,TRUE,208,0.000003,TRUE,No smoothing used.
Spanish,limited,Soldier,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,,,,,,0.000568,,245,0.000000,TRUE,Smoothed variance is zero; Wald test undefined.
Spanish,limited,Surgeon,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,,,,,,0.000568,,245,0.000000,TRUE,Smoothed variance is zero; Wald test undefined.
Spanish,limited,Teacher,219,26,0,0,245,245,0,245,0.000000,0.893878,0.106122,0.000000,0.787755,FALSE,0.000000,0.893878,0.106122,0.000000,0.787755,0.379442,0.039354,0.710623,0.864888,20.017121,0.000000,0.000568,TRUE,245,0.000000,TRUE,No smoothing used.
Spanish,limited,Therapist,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,,,,,,0.000568,,245,0.000000,TRUE,Smoothed variance is zero; Wald test undefined.
Spanish,standard,Cleaning assistant,234,11,0,0,245,245,0,245,0.000000,0.955102,0.044898,0.000000,0.910204,FALSE,0.000000,0.955102,0.044898,0.000000,0.910204,0.171529,0.026460,0.858344,0.962064,34.399619,0.000000,0.000568,TRUE,245,0.000000,TRUE,No smoothing used.
Spanish,standard,Director,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,,,,,,0.000568,,245,0.000000,TRUE,Smoothed variance is zero; Wald test undefined.
Spanish,standard,Doctor,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,,,,,,0.000568,,245,0.000000,TRUE,Smoothed variance is zero; Wald test undefined.
Spanish,standard,Electrician,243,0,2,0,245,245,0,245,0.000000,0.991837,0.000000,0.008163,0.991837,FALSE,0.000000,0.991837,0.000000,0.008163,0.991837,0.008097,0.005749,0.980570,1.000000,172.532606,0.000000,0.000568,TRUE,243,0.000000,TRUE,No smoothing used.
Spanish,standard,Engineer,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,,,,,,0.000568,,245,0.000000,TRUE,Smoothed variance is zero; Wald test undefined.
Spanish,standard,Firefighter,243,0,2,0,245,245,0,245,0.000000,0.991837,0.000000,0.008163,0.991837,FALSE,0.000000,0.991837,0.000000,0.008163,0.991837,0.008097,0.005749,0.980570,1.000000,172.532606,0.000000,0.000568,TRUE,243,0.000000,TRUE,No smoothing used.
