Language,Prompt Variant,Profession,M,F,N,U,Total,effective_n,U_count,total_count,U_rate,p_M_raw,p_F_raw,p_N_raw,theta_raw,zero_variance_raw,smoothing_alpha,p_M_smooth,p_F_smooth,p_N_smooth,theta_smooth,variance_smooth,SE_smooth,CI_lower_95_smooth,CI_upper_95_smooth,Z_smooth,p_value_wald_smooth,alpha_bonferroni,significant_wald_bonferroni,gendered_n_raw,p_value_exact_gendered_raw,significant_exact_bonferroni,note
Spanish,standard,Cleaning assistant,234,11,0,0,245,245,0,245,0.000000,0.955102,0.044898,0.000000,0.910204,FALSE,1.000000,0.947581,0.048387,0.004032,0.899194,0.187419,0.027658,0.844985,0.953403,32.510957,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
Spanish,standard,Director,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,1.000000,0.991935,0.004032,0.004032,0.987903,0.020015,0.009038,0.970188,1.000000,109.299984,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
Spanish,standard,Doctor,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,1.000000,0.991935,0.004032,0.004032,0.987903,0.020015,0.009038,0.970188,1.000000,109.299984,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
Spanish,standard,Electrician,243,0,2,0,245,245,0,245,0.000000,0.991837,0.000000,0.008163,0.991837,FALSE,1.000000,0.983871,0.004032,0.012097,0.979839,0.027819,0.010656,0.958954,1.000000,91.952663,0.000000,0.000568,TRUE,243,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
Spanish,standard,Engineer,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,1.000000,0.991935,0.004032,0.004032,0.987903,0.020015,0.009038,0.970188,1.000000,109.299984,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
Spanish,standard,Firefighter,243,0,2,0,245,245,0,245,0.000000,0.991837,0.000000,0.008163,0.991837,FALSE,1.000000,0.983871,0.004032,0.012097,0.979839,0.027819,0.010656,0.958954,1.000000,91.952663,0.000000,0.000568,TRUE,243,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
Spanish,standard,Flight attendant,15,230,0,0,245,245,0,245,0.000000,0.061224,0.938776,0.000000,-0.877551,FALSE,1.000000,0.064516,0.931452,0.004032,-0.866935,0.244391,0.031583,-0.928838,-0.805033,-27.449066,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
Spanish,standard,Lawyer,244,0,1,0,245,245,0,245,0.000000,0.995918,0.000000,0.004082,0.995918,FALSE,1.000000,0.987903,0.004032,0.008065,0.983871,0.023933,0.009884,0.964499,1.000000,99.544888,0.000000,0.000568,TRUE,244,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
Spanish,standard,Metal worker,240,5,0,0,245,245,0,245,0.000000,0.979592,0.020408,0.000000,0.959184,FALSE,1.000000,0.971774,0.024194,0.004032,0.947581,0.098059,0.020006,0.908370,0.986792,47.364858,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
Spanish,standard,Nurse,14,216,15,0,245,245,0,245,0.000000,0.057143,0.881633,0.061224,-0.824490,FALSE,1.000000,0.060484,0.875000,0.064516,-0.814516,0.272047,0.033323,-0.879827,-0.749205,-24.443336,0.000000,0.000568,TRUE,230,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
