STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,isco08,International Standard Classification of Occupations 2008 (ISCO-08),age,Age class,sex,Sex,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC4,Clerical support workers,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,FR,France,2023,,2253.1,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC41,General and keyboard clerks,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,FR,France,2023,,828.3,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC41,General and keyboard clerks,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,FR,France,2023,,133.5,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC41,General and keyboard clerks,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,FR,France,2023,,961.7,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC42,Customer services clerks,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,FR,France,2023,,218.6,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC42,Customer services clerks,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,FR,France,2023,,70.5,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC42,Customer services clerks,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,FR,France,2023,,289.2,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC43,Numerical and material recording clerks,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,FR,France,2023,,390.9,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC43,Numerical and material recording clerks,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,FR,France,2023,,332.1,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC43,Numerical and material recording clerks,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,FR,France,2023,,723.0,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC44,Other clerical support workers,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,FR,France,2023,,183.8,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC44,Other clerical support workers,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,FR,France,2023,,88.1,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC44,Other clerical support workers,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,FR,France,2023,,271.8,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC5,Service and sales workers,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,FR,France,2023,,2577.6,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC5,Service and sales workers,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,FR,France,2023,,1248.0,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC5,Service and sales workers,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,FR,France,2023,,3825.5,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC51,Personal service workers,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,FR,France,2023,,546.7,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC51,Personal service workers,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,FR,France,2023,,388.7,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC51,Personal service workers,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,FR,France,2023,,935.4,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC52,Sales workers,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,FR,France,2023,,717.8,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC52,Sales workers,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,FR,France,2023,,407.7,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC52,Sales workers,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,FR,France,2023,,1125.5,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC53,Personal care workers,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,FR,France,2023,,1222.8,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC53,Personal care workers,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,FR,France,2023,,93.7,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC53,Personal care workers,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,FR,France,2023,,1316.5,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC54,Protective services workers,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,FR,France,2023,,90.3,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC54,Protective services workers,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,FR,France,2023,,357.8,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC54,Protective services workers,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,FR,France,2023,,448.1,,d,definition differs (see metadata),,
