STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,isco08,International Standard Classification of Occupations 2008 (ISCO-08),age,Age class,sex,Sex,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC34,"Legal, social, cultural and related associate professionals",Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,DE,Germany,2023,,230.7,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC34,"Legal, social, cultural and related associate professionals",Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,DE,Germany,2023,,506.4,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC35,Information and communications technicians,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,DE,Germany,2023,,42.8,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC35,Information and communications technicians,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,DE,Germany,2023,,264.4,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC35,Information and communications technicians,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,DE,Germany,2023,,307.1,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC4,Clerical support workers,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,DE,Germany,2023,,3438.2,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC4,Clerical support workers,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,DE,Germany,2023,,1782.7,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC4,Clerical support workers,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,DE,Germany,2023,,5220.9,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC41,General and keyboard clerks,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,DE,Germany,2023,,2136.8,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC41,General and keyboard clerks,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,DE,Germany,2023,,558.6,,,,,
